"Response ID","Survey ID","Survey Title","Response Type","Respondent Email","Submitted Date","Submitted Time","Response Data","Call SID","Metadata"
"zOrUQPmoYxybNBZjvdIJ_","oMfD3BDIXN","test","web","Anonymous","6/30/2025","4:22:50 PM","test: hi","",""
"VeKwtkDZjdMvpuJ2aK04J","survey-customer-satisfaction","Customer Satisfaction Survey","anonymous","Anonymous","6/30/2025","4:19:00 PM","How satisfied are you with our service?: Excellent service, very | What can we improve?: Could improve website | Would you recommend us to others?: Yes, I recommend | Any additional comments?: Thank you for","",""
"N5b8aPkk851RVqM6p09-f","oMfD3BDIXN","test","web","Anonymous","6/30/2025","4:10:19 PM","test: ok","",""
"E2Ov_ewHRiE_Bge_7SVDR","oMfD3BDIXN","test","web","Anonymous","6/30/2025","4:10:07 PM","test: ok","",""
"8qGbaK2nQe6hzqTb9qtii","oMfD3BDIXN","test","web","Anonymous","6/30/2025","4:04:00 PM","test: ok","",""
"jw7Ue8QDjmDKW_rtrL-I4","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:57:33 PM","Question 1: ok","",""
"ET1buZwbvN-nn8eLfKRBb","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:53:25 PM","Question 1: ok","",""
"2NKu3F_C-p_raMckRY9KD","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:42:45 PM","Question 1: ok","",""
"8Nrv4yhxaTMNi8II7-LF-","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:38:01 PM","Question 1: ok","",""
"tpcRZslDTtMuQaa02rWaO","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:37:50 PM","Question 1: ok","",""
"bag3tu6DA2ONzRxSpRojT","survey-market-research","Market Research Survey","text","david.wilson@enterprise.com","6/30/2025","3:37:00 PM","Which brands do you prefer?: Premium luxury brands | How often do you shop online?: Occasional purchases | What influences your buying decisions?: Quality and exclusivity | Price sensitivity rating: Not price sensitive","",""
"HkXHtGI15aUi_yp3NGsFa","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:29:44 PM","Question 1: ok","",""
"V8Q_MZlThVUxOl0Jd0tYX","2O7oLjmEu6","Unknown Survey","web","Anonymous","6/30/2025","3:29:31 PM","Question 1: ok","",""
